,query,timestamp,quote,from,to,US_equiv
155,USDWST,1529957891,2.592897,USD,WST,0.3856690026638158
156,USDXAF,1529957891,560.099976,USD,XAF,0.0017853955415988092
157,USDXAG,1529957891,0.061211,USD,XAG,16.33693290421656
158,USDXAU,1529957891,0.00079,USD,XAU,1265.8227848101264
159,USDXCD,1529957891,2.699161,USD,XCD,0.37048549530761593
160,USDXDR,1529957891,0.708694,USD,XDR,1.4110462343409143
161,USDXOF,1529957891,560.099976,USD,XOF,0.0017853955415988092
162,USDXPF,1529957891,101.989292,USD,XPF,0.009804950896217614
163,USDYER,1529957891,249.899994,USD,YER,0.004001600736332951
164,USDZAR,1529957891,13.5641,USD,ZAR,0.07372402149792467
165,USDZMK,1529957891,9001.19551,USD,ZMK,0.00011109635368868908
166,USDZMW,1529957891,9.809835,USD,ZMW,0.10193851374666343
167,USDZWL,1529957891,322.355011,USD,ZWL,0.0031021698620345007
